地球温暖化,-1,-1,1000,名詞,固有名詞,人名,名,*,*,地球温暖化,モトヒロ,モトヒロ
国立環境研究所,-1,-1,1000,名詞,固有名詞,人名,名,*,*,国立環境研究所,モトヒロ,モトヒロ
環境研究所,-1,-1,1000,名詞,固有名詞,人名,名,*,*,環境研究所,モトヒロ,モトヒロ
環境研,-1,-1,1000,名詞,固有名詞,人名,名,*,*,環境研,モトヒロ,モトヒロ
江守正多,-1,-1,1000,名詞,固有名詞,人名,名,*,*,江守正多,モトヒロ,モトヒロ
江守正多先生,-1,-1,1000,名詞,固有名詞,人名,名,*,*,江守正多先生,モトヒロ,モトヒロ
グレタ トゥーンベリ,-1,-1,1000,名詞,固有名詞,人名,名,*,*,グレタ トゥーンベリ,モトヒロ,モトヒロ
地球環境研究センター,-1,-1,1000,名詞,固有名詞,人名,名,*,*,地球環境研究センター,モトヒロ,モトヒロ
再稼働,-1,-1,1000,名詞,固有名詞,人名,名,*,*,再稼働,モトヒロ,モトヒロ
強制移住防止策,-1,-1,1000,名詞,固有名詞,人名,名,*,*,強制移住防止策,モトヒロ,モトヒロ
温暖化,-1,-1,1000,名詞,固有名詞,人名,名,*,*,温暖化,モトヒロ,モトヒロ
京都議定書,-1,-1,1000,名詞,固有名詞,人名,名,*,*,京都議定書,モトヒロ,モトヒロ
松岡修造,-1,-1,1000,名詞,固有名詞,人名,名,*,*,松岡修造,モトヒロ,モトヒロ
温室効果ガス,-1,-1,1000,名詞,固有名詞,人名,名,*,*,温室効果ガス,モトヒロ,モトヒロ
寒冷化,-1,-1,1000,名詞,固有名詞,人名,名,*,*,寒冷化,モトヒロ,モトヒロ
温暖化,-1,-1,1000,名詞,固有名詞,人名,名,*,*,温暖化,モトヒロ,モトヒロ
砂漠化,-1,-1,1000,名詞,固有名詞,人名,名,*,*,砂漠化,モトヒロ,モトヒロ
CO2,-1,-1,1000,名詞,固有名詞,人名,名,*,*,CO2,モトヒロ,モトヒロ
CO２,-1,-1,1000,名詞,固有名詞,人名,名,*,*,CO２,モトヒロ,モトヒロ
オゾン層,-1,-1,1000,名詞,固有名詞,人名,名,*,*,オゾン層,モトヒロ,モトヒロ
可能性,-1,-1,1000,名詞,固有名詞,人名,名,*,*,可能性,モトヒロ,モトヒロ
排出量,-1,-1,1000,名詞,固有名詞,人名,名,*,*,排出量,モトヒロ,モトヒロ
議定書,-1,-1,1000,名詞,固有名詞,人名,名,*,*,議定書,モトヒロ,モトヒロ
熱中症,-1,-1,1000,名詞,固有名詞,人名,名,*,*,熱中症,モトヒロ,モトヒロ
科学者,-1,-1,1000,名詞,固有名詞,人名,名,*,*,科学者,モトヒロ,モトヒロ
宇宙ゴミ,-1,-1,1000,名詞,固有名詞,人名,名,*,*,宇宙ゴミ,モトヒロ,モトヒロ
数年,-1,-1,1000,名詞,固有名詞,人名,名,*,*,数年,モトヒロ,モトヒロ
パリ協定,-1,-1,1000,名詞,固有名詞,人名,名,*,*,パリ協定,モトヒロ,モトヒロ
東京タワー,-1,-1,1000,名詞,固有名詞,人名,名,*,*,東京タワー,モトヒロ,モトヒロ
小泉進次郎,-1,-1,1000,名詞,固有名詞,人名,名,*,*,小泉進次郎,モトヒロ,モトヒロ
レジ袋,-1,-1,1000,名詞,固有名詞,人名,名,*,*,レジ袋,モトヒロ,モトヒロ
私たち,-1,-1,1000,名詞,固有名詞,人名,名,*,*,私たち,モトヒロ,モトヒロ
子供たち,-1,-1,1000,名詞,固有名詞,人名,名,*,*,子供たち,モトヒロ,モトヒロ
生態系,-1,-1,1000,名詞,固有名詞,人名,名,*,*,生態系,モトヒロ,モトヒロ
花粉症,-1,-1,1000,名詞,固有名詞,人名,名,*,*,花粉症,モトヒロ,モトヒロ
令和,-1,-1,1000,名詞,固有名詞,人名,名,*,*,令和,モトヒロ,モトヒロ
化石燃料,-1,-1,1000,名詞,固有名詞,人名,名,*,*,化石燃料,モトヒロ,モトヒロ
気候変動,-1,-1,1000,名詞,固有名詞,人名,名,*,*,気候変動,モトヒロ,モトヒロ
異常気象,-1,-1,1000,名詞,固有名詞,人名,名,*,*,異常気象,モトヒロ,モトヒロ
気象異常,-1,-1,1000,名詞,固有名詞,人名,名,*,*,気象異常,モトヒロ,モトヒロ
森林伐採,-1,-1,1000,名詞,固有名詞,人名,名,*,*,森林伐採,モトヒロ,モトヒロ
高齢化,-1,-1,1000,名詞,固有名詞,人名,名,*,*,高齢化,モトヒロ,モトヒロ
子供ごろ,-1,-1,1000,名詞,固有名詞,人名,名,*,*,子供ごろ,モトヒロ,モトヒロ
子供頃,-1,-1,1000,名詞,固有名詞,人名,名,*,*,子供頃,モトヒロ,モトヒロ
クマゼミ,-1,-1,1000,名詞,固有名詞,人名,名,*,*,クマゼミ,モトヒロ,モトヒロ
政治家,-1,-1,1000,名詞,固有名詞,人名,名,*,*,政治家,モトヒロ,モトヒロ
先進国,-1,-1,1000,名詞,固有名詞,人名,名,*,*,先進国,モトヒロ,モトヒロ
途上国,-1,-1,1000,名詞,固有名詞,人名,名,*,*,途上国,モトヒロ,モトヒロ
気温上昇,-1,-1,1000,名詞,固有名詞,人名,名,*,*,気温上昇,モトヒロ,モトヒロ
海面上昇,-1,-1,1000,名詞,固有名詞,人名,名,*,*,海面上昇,モトヒロ,モトヒロ
火力発電,-1,-1,1000,名詞,固有名詞,人名,名,*,*,火力発電,モトヒロ,モトヒロ
氷期,-1,-1,1000,名詞,固有名詞,人名,名,*,*,氷期,モトヒロ,モトヒロ
具体的,-1,-1,1000,名詞,固有名詞,人名,名,*,*,具体的,モトヒロ,モトヒロ
人為的,-1,-1,1000,名詞,固有名詞,人名,名,*,*,人為的,モトヒロ,モトヒロ
十年,-1,-1,1000,名詞,固有名詞,人名,名,*,*,十年,モトヒロ,モトヒロ
軍事費,-1,-1,1000,名詞,固有名詞,人名,名,*,*,軍事費,モトヒロ,モトヒロ
人たち,-1,-1,1000,名詞,固有名詞,人名,名,*,*,人たち,モトヒロ,モトヒロ
自然災害,-1,-1,1000,名詞,固有名詞,人名,名,*,*,自然災害,モトヒロ,モトヒロ
感染症,-1,-1,1000,名詞,固有名詞,人名,名,*,*,感染症,モトヒロ,モトヒロ
世界的,-1,-1,1000,名詞,固有名詞,人名,名,*,*,世界的,モトヒロ,モトヒロ
永久凍土,-1,-1,1000,名詞,固有名詞,人名,名,*,*,永久凍土,モトヒロ,モトヒロ
有料化,-1,-1,1000,名詞,固有名詞,人名,名,*,*,有料化,モトヒロ,モトヒロ
一番,-1,-1,1000,名詞,固有名詞,人名,名,*,*,一番,モトヒロ,モトヒロ
電気代,-1,-1,1000,名詞,固有名詞,人名,名,*,*,電気代,モトヒロ,モトヒロ
バイデン氏,-1,-1,1000,名詞,固有名詞,人名,名,*,*,バイデン氏,モトヒロ,モトヒロ
COP,-1,-1,1000,名詞,固有名詞,人名,名,*,*,COP,モトヒロ,モトヒロ
科学的,-1,-1,1000,名詞,固有名詞,人名,名,*,*,科学的,モトヒロ,モトヒロ
陰謀論,-1,-1,1000,名詞,固有名詞,人名,名,*,*,陰謀論,モトヒロ,モトヒロ
今年,-1,-1,1000,名詞,固有名詞,人名,名,*,*,今年,モトヒロ,モトヒロ
世界の財界,-1,-1,1000,名詞,固有名詞,人名,名,*,*,世界の財界,モトヒロ,モトヒロ
